ticker,added_at,finviz_screen,notes
ABVX,2026-07-02,finviz-free-screenshot-filtered,"Abivax ADR; screenshot move +7.66%, price $142.71, volume 2.89M. Biotech ADR; catalyst/dilution and ADR risk check required."
AVAV,2026-07-02,finviz-free-screenshot-filtered,"AeroVironment; screenshot move +9.64%, price $189.06, volume 3.39M. Defense/drone theme; already in base universe, Finviz seed confirms active momentum."
CABA,2026-07-02,finviz-free-screenshot-filtered,"Cabaletta Bio; screenshot move +4.18%, price $3.12, volume 6.59M. Clean target-range biotech seed; catalyst/dilution check required."
FIZZ,2026-07-02,finviz-free-screenshot-filtered,"National Beverage; screenshot move +13.66%, price $35.23, volume 777,967. Consumer defensive momentum seed near upper move range; check if already extended."
IVA,2026-07-02,finviz-free-screenshot-filtered,"Inventiva ADR; screenshot move +5.69%, price $3.90, volume 1.16M. Biotech ADR seed; catalyst/dilution and ADR risk check required."
REAX,2026-07-02,finviz-free-screenshot-filtered,"The Real Brokerage; screenshot move +8.64%, price $2.15, volume 6.60M. Small-cap real-estate services momentum seed; liquidity/spread check required."
RIVN,2026-07-02,finviz-free-screenshot-filtered,"Rivian; screenshot move +8.15%, price $18.58, volume 56.06M. EV momentum seed; already in base universe and previously scored highly."
SBET,2026-07-02,finviz-free-screenshot-filtered,"Sharplink; screenshot move +2.89%, price $5.32, volume 13.52M. Slightly below +3% target in screenshot but close enough to keep as a high-volume near-threshold seed."
SLDE,2026-07-02,finviz-free-screenshot-filtered,"Slide Insurance; screenshot move +7.52%, price $21.49, volume 2.15M. Insurance momentum seed; check news/catalyst quality."
TENX,2026-07-02,finviz-free-screenshot-filtered,"Tenax Therapeutics; screenshot move +9.97%, price $14.61, volume 2.92M. Small biotech seed; high-risk catalyst/dilution check required."
VOR,2026-07-02,finviz-free-screenshot-filtered,"Vor Biopharma; screenshot move +9.90%, price $20.21, volume 2.96M. Biotech seed; catalyst/dilution check required."
WAY,2026-07-02,finviz-free-screenshot-filtered,"Waystar; screenshot move +9.17%, price $23.40, volume 4.44M. Health information services momentum seed; check news and lockup/float context."
CYH,2026-07-02,finviz-free-screenshot-filtered,"Community Health Systems; screenshot move +6.06%, price $3.75, volume 2.74M. Healthcare facilities seed; low price/high-risk balance-sheet check required."
